,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
1,12/18/2009,Avatar,425000000,760507625,2783918982
2,12/18/2015,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2058662225
3,5/24/2007,Pirates of the Caribbean: At World's End,300000000,309420425,963420425
4,42166,Spectre,300000000,200074175,879620923
5,7/20/2012,The Dark Knight Rises,275000000,448139099,1084439099
6,41312,The Lone Ranger,275000000,89302115,260002115
7,41155,John Carter,275000000,73058679,282778100
8,11/24/2010,Tangled,260000000,200821936,586581936
9,39177,Spider-Man 3,258000000,336530303,890875303
10,42009,Avengers: Age of Ultron,250000000,459005868,1404705868
11,42526,Captain America: Civil War,250000000,408084349,1151684349
12,3/25/2016,Batman v Superman: Dawn of Justice,250000000,330360194,868160194
13,12/14/2012,The Hobbit: An Unexpected Journey,250000000,303003568,1017003568
14,7/15/2009,Harry Potter and the Half-Blood Prince,250000000,301959197,935083686
15,12/13/2013,The Hobbit: The Desolation of Smaug,250000000,258366855,960366855
16,12/17/2014,The Hobbit: The Battle of the Five Armies,250000000,255119788,955119788
17,5/20/2011,Pirates of the Caribbean: On Stranger Tides,250000000,241063875,1045663875
18,6/28/2006,Superman Returns,232000000,200120000,374085065
19,11/14/2008,Quantum of Solace,230000000,169368427,591692078
20,41004,The Avengers,225000000,623279547,1519479547
21,38905,Pirates of the Caribbean: Dead Man's Chest,225000000,423315812,1066215812
22,6/14/2013,Man of Steel,225000000,291045518,667999518
23,5/16/2008,The Chronicles of Narnia: Prince Caspian,225000000,141621490,417341288
24,40975,The Amazing Spider-Man,220000000,262030663,757890267
25,42344,Jurassic World,215000000,652198010,1670328025
26,5/25/2012,Men in Black 3,215000000,179020854,654213485
27,6/24/2009,Transformers: Revenge of the Fallen,210000000,402111870,836519699
28,6/27/2014,Transformers: Age of Extinction,210000000,245439076,1104039076
29,5/26/2006,X-Men: The Last Stand,210000000,234362462,459359555
30,5/14/2010,Robin Hood,210000000,105269730,322241588
31,5/18/2012,Battleship,209000000,65233400,305218228
32,12/14/2005,King Kong,207000000,218080025,550517357
33,39094,The Golden Compass,205000000,70107728,367262558
34,12/19/1997,Titanic,200000000,658672302,2207615668
35,6/17/2016,Finding Dory,200000000,484393217,985193217
36,6/18/2010,Toy Story 3,200000000,415004880,1069818229
37,41338,Iron Man 3,200000000,408992272,1215392272
38,6/30/2004,Spider-Man 2,200000000,373524485,783705001
39,40301,Alice in Wonderland,200000000,334191110,1025491110
40,41132,Skyfall,200000000,304360277,1110526981
41,6/21/2013,Monsters University,200000000,268488329,743588329
42,41489,Oz the Great and Powerful,200000000,234770996,490359051
43,5/23/2014,X-Men: Days of Future Past,200000000,233921534,747862775
44,41675,The Amazing Spider-Man 2,200000000,202853933,708996336
45,6/24/2011,Cars 2,200000000,191450875,560155383
46,12/17/2010,Tron: Legacy,200000000,172062763,397562763
47,11/13/2009,2012,200000000,166112167,788408539
48,5/21/2009,Terminator Salvation,200000000,125322469,365491792
49,6/17/2011,Green Lantern,200000000,116601172,231201172
50,5/28/2010,Prince of Persia: Sands of Time,200000000,90759676,314594597
51,6/29/2011,Transformers: Dark of the Moon,195000000,352390543,1123790543
52,41277,Jack the Giant Slayer,195000000,65187603,197687603
53,42067,Furious 7,190000000,351032910,1514019071
54,5/15/2013,Star Trek Into Darkness,190000000,228778661,467381584
55,6/21/2013,World War Z,190000000,202359711,531514650
56,41552,The Great Gatsby,190000000,144840419,351040419
57,39975,Disney's A Christmas Carol,190000000,137855863,315709697
58,41615,Pacific Rim,190000000,101802906,411002906
59,11/25/2015,The Good Dinosaur,187500000,123087120,334354269
60,39483,Iron Man,186000000,318604126,582443126
61,7/18/2008,The Dark Knight,185000000,533345358,1002891358
62,5/22/2008,Indiana Jones and the Kingdom of the Crystal Skull,185000000,317023851,786558145
63,6/22/2012,Brave,185000000,237282182,554606532
64,7/22/2016,Star Trek Beyond,185000000,158430161,336230161
65,38607,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,291710957,720539572
66,5/30/2014,Maleficent,180000000,241407328,758536735
67,6/27/2008,WALL-E,180000000,223808164,532590994
68,39363,Rush Hour 3,180000000,140125968,256585882
69,42376,The Legend of Tarzan,180000000,126643061,349143061
70,11/23/2011,Hugo,180000000,73864507,180047784
71,7/21/2017,Valerian and the City of a Thousand Planets,180000000,0,0
72,42157,Jupiter Ascending,179000000,47482519,181982519
73,5/27/2016,X-Men: Apocalypse,178000000,155442489,542742489
74,41796,Edge of Tomorrow,178000000,100206256,364406256
75,4/15/2016,The Jungle Book,175000000,364001123,963901123
76,6/19/2015,Inside Out,175000000,356461711,853923085
77,42498,Suicide Squad,175000000,320857912,734457912
78,5/29/2009,Up,175000000,293004164,731542621
79,3/27/2009,Monsters vs. Aliens,175000000,198351526,381687380
80,40002,G.I. Joe: The Rise of Cobra,175000000,150201498,302469017
81,6/30/1999,Wild Wild West,175000000,113805681,221229335
82,39455,The Mummy: Tomb of the Dragon Emperor,175000000,102491776,405760225
83,6/22/2007,Evan Almighty,175000000,100289690,174131329
84,7/28/1995,Waterworld,175000000,88246220,264246220
85,12/25/2013,47 Ronin,175000000,38362475,151659062
86,12/31/2020,Singularity,175000000,0,0
87,41647,Guardians of the Galaxy,170000000,333172112,771172112
88,40364,Iron Man 2,170000000,312433331,623561331
89,41733,Captain America: The Winter Soldier,170000000,259746958,714401889
90,41950,Dawn of the Planet of the Apes,170000000,208545589,703545589
91,38271,The Polar Express,170000000,194949659,319090241
92,40914,Snow White and the Huntsman,170000000,155136755,401016924
93,37628,Terminator 3: Rise of the Machines,170000000,150358296,433058296
94,38173,Van Helsing,170000000,120150546,300150546
95,5/22/2015,Tomorrowland,170000000,93436322,205336322
96,5/27/2016,Alice Through the Looking Glass,170000000,77042381,277442381
97,5/21/2010,Shrek Forever After,165000000,238736787,756244673
98,41831,Big Hero 6,165000000,222527828,652127828
99,3/26/2010,How to Train Your Dragon,165000000,217581231,494870991
100,40950,Wreck-It Ralph,165000000,189412677,496511521
101,41770,Interstellar,165000000,188017894,665417894
102,6/24/2016,Independence Day: Resurgence,165000000,103144286,387644286
103,7/29/2011,Cowboys and Aliens,163000000,100240551,175910315
104,5/17/2007,Shrek the Third,160000000,322719944,807330936
105,7/16/2010,Inception,160000000,292576195,832584416
106,11/20/2015,The Hunger Games: Mockingjay - Part 2,160000000,281723902,650523427
107,5/24/2013,Fast and Furious 6,160000000,238679850,789952811
108,5/16/2014,Godzilla,160000000,200676069,529076069
109,40608,X-Men: First Class,160000000,146408305,355408305
110,12/25/2008,The Curious Case of Benjamin Button,160000000,127509326,329809326
111,7/14/2010,The Sorcerer's Apprentice,160000000,63150991,217986320
112,39056,Poseidon,160000000,60674817,181674817
113,42649,Warcraft,160000000,47225655,433125655
114,9/30/2016,Deepwater Horizon,156000000,20600000,33000000
115,40463,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,104386950,418186950
116,42011,Terminator: Genisys,155000000,89760956,440160956
117,11/24/2004,Alexander,155000000,34297191,167297191
118,5/25/2001,Pearl Harbor,151500000,198539855,449239855
119,39120,Transformers,151000000,319246193,708272592
120,11/22/2013,Frozen,150000000,400738009,1274234980
121,42463,Zootopia,150000000,341268248,1021768248
122,39393,Harry Potter and the Order of the Phoenix,150000000,292004738,942943935
123,11/18/2005,Harry Potter and the Goblet of Fire,150000000,290013036,896911078
124,5/15/2003,The Matrix Reloaded,150000000,281553689,738576929
125,12/14/2007,I am Legend,150000000,256393010,585532684
126,39454,Hancock,150000000,227946274,624234272
127,7/15/2005,Charlie and the Chocolate Factory,150000000,206459076,475825484
128,6/29/2007,Ratatouille,150000000,206445654,626549695
129,41497,Thor: The Dark World,150000000,206362140,644602516
130,6/15/2005,Batman Begins,150000000,205343774,359142722
131,7/31/2015,Mission: Impossible - Rogue Nation,150000000,195042377,700868363
132,40699,Thor,150000000,181030624,449326618
133,39640,Madagascar: Escape 2 Africa,150000000,180010950,599516844
134,39818,X-Men Origins: Wolverine,150000000,179883157,374825760
135,5/22/2009,Night at the Museum: Battle of the Smithsonian,150000000,177243721,402231063
136,5/26/2011,Kung Fu Panda 2,150000000,165249063,664837547
137,5/15/2015,Mad Max: Fury Road,150000000,153636354,373136354
138,37752,The Matrix Revolutions,150000000,139270910,427300260
139,38842,Mission: Impossible III,150000000,133501348,397501348
140,5/15/2009,Angels & Demons,150000000,133375846,490875846
141,5/14/2004,Troy,150000000,133298577,484161265
142,40185,The Last Airbender,150000000,131772187,319713881
143,39124,Bee Movie,150000000,126631277,287594577
144,7/24/2009,G-Force,150000000,119436770,292817841
145,11/21/2008,Bolt,150000000,114053759,328015209
146,3/30/2012,Wrath of the Titans,150000000,83670083,305270083
147,11/16/2007,Beowulf,150000000,82195215,194995215
148,41218,Dark Shadows,150000000,79727149,238202668
149,6/28/2013,White House Down,150000000,73103784,205440387
150,40514,The Wolfman,150000000,62189884,142634358
151,42257,Pan,150000000,35088320,123888320
152,40850,Mars Needs Moms,150000000,21392758,39549758
153,12/21/2016,Passengers,150000000,0,0
154,38787,Flushed Away,149000000,64665672,179357126
155,41127,Madagascar 3: Europe's Most Wanted,145000000,216391482,746921271
156,12/16/2011,Mission: Impossible—Ghost Protocol,145000000,209397903,694713230
157,6/13/2014,How to Train Your Dragon 2,145000000,177002924,616102924
158,6/16/1999,Tarzan,145000000,171091819,448191819
159,41823,Mr. Peabody & Sherman,145000000,111506430,269806430
160,11/21/2012,Rise of the Guardians,145000000,103412758,306900902
161,38568,Sahara,145000000,68671925,121671925
162,7/15/2016,Ghostbusters,144000000,127711314,228308458
163,11/22/2002,Die Another Day,142000000,160942139,431942139
164,40030,Star Trek,140000000,257730019,385680446
165,35802,Armageddon,140000000,201578182,554600000
166,37322,Men in Black 2,140000000,190418803,441767803
167,7/22/2011,Captain America: The First Avenger,140000000,176654505,370569776
168,1/29/2016,Kung Fu Panda 3,140000000,143528619,518628619
169,36075,Lethal Weapon 4,140000000,130444603,285400000
170,3/27/2013,G.I. Joe: Retaliation,140000000,122523060,375740705
171,37753,The Last Samurai,140000000,111110575,456810575
172,12/21/2005,Fun With Dick And Jane,140000000,110550000,203018919
173,41985,Exodus: Gods and Kings,140000000,65014513,268314513
174,42376,The BFG,140000000,55436714,147586714
175,2/26/2016,Gods of Egypt,140000000,31153464,133553464
176,37320,Spider-Man,139000000,403706375,821706375
177,39967,Watchmen,138000000,107509799,184068357
178,7/29/2005,Stealth,138000000,32116746,76416746
179,6/13/2008,The Incredible Hulk,137500000,134806913,263417913
180,6/20/2003,Hulk,137000000,132177234,245229234
181,37202,Final Fantasy: The Spirits Within,137000000,32131830,85131830
182,11/16/2012,"The Twilight Saga: Breaking Dawn, Part 2",136200000,292324737,829724737
183,40918,The Croods,135000000,187168425,573068425
